SampleID	Filename	GroupStrain	StrainColor	PairedEnd	StrandSpecific	DataType	ReadSense	KeepIntergenics	Fpath
HE_AMI1_S7	HE_AMI1_S7_R1.fastq.gz	ami	DarkRed	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_AMI1_S7_R1.fastq.gz
HE_AMI2_S8	HE_AMI2_S8_R1.fastq.gz	ami	DarkRed	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_AMI2_S8_R1.fastq.gz
HE_AMI3_S9	HE_AMI3_S9_R1.fastq.gz	ami	DarkRed	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_AMI3_S9_R1.fastq.gz
HE_CLA1_S10	HE_CLA1_S10_R1.fastq.gz	cla	Blue	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_CLA1_S10_R1.fastq.gz
HE_CLA2_S11	HE_CLA2_S11_R1.fastq.gz	cla	Blue	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_CLA2_S11_R1.fastq.gz
HE_CLA3_S12	HE_CLA3_S12_R1.fastq.gz	cla	Blue	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_CLA3_S12_R1.fastq.gz
HE_NCA1_S19	HE_NCA1_S19_R1.fastq.gz	nca	Green	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NCA1_S19_R1.fastq.gz
HE_NCA2_S20	HE_NCA2_S20_R1.fastq.gz	nca	Green	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NCA2_S20_R1.fastq.gz
HE_NCA3_S21	HE_NCA3_S21_R1.fastq.gz	nca	Green	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NCA3_S21_R1.fastq.gz
HE_NTP1_S4	HE_NTP1_S4_R1.fastq.gz	ntp	Orange	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP1_S4_R1.fastq.gz
HE_NTP2_S5	HE_NTP2_S5_R1.fastq.gz	ntp	Orange	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP2_S5_R1.fastq.gz
HE_NTP3_S6	HE_NTP3_S6_R1.fastq.gz	ntp	Orange	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP3_S6_R1.fastq.gz
HE_NTP_AMI1_S13	HE_NTP_AMI1_S13_R1.fastq.gz	ntp_ami	Purple	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP_AMI1_S13_R1.fastq.gz
HE_NTP_AMI2_S14	HE_NTP_AMI2_S14_R1.fastq.gz	ntp_ami	Purple	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP_AMI2_S14_R1.fastq.gz
HE_NTP_AMI3_S15	HE_NTP_AMI3_S15_R1.fastq.gz	ntp_ami	Purple	FALSE	FALSE	RNA-seq	antisense	TRUE	/home/shermanlab/RNAseq/ProcessedData/2022_02_03_HE_Mabs/FASTQFiles/HE_NTP_AMI3_S15_R1.fastq.gz
