"","HE_AMI1_S7","HE_AMI2_S8","HE_AMI3_S9","HE_CLA1_S10","HE_CLA2_S11","HE_CLA3_S12","HE_NCA1_S19","HE_NCA2_S20","HE_NCA3_S21","HE_NTP1_S4","HE_NTP2_S5","HE_NTP3_S6","HE_NTP_AMI1_S13","HE_NTP_AMI2_S14","HE_NTP_AMI3_S15","HE_NTP_CLA1_S16","HE_NTP_CLA2_S17","HE_NTP_CLA3_S18","HE_unt1_S1","HE_unt2_S2","HE_unt3_S3"
"MAB_0001",458.86,402.7,311.3,197.76,140.61,253.73,22.15,37,20.77,893.84,610.36,803.34,351.09,299.49,407.55,248.61,217.43,279.27,818.69,743.11,737.74
"MAB_0002",1574.24,1270.93,1028.39,1287.07,980.39,1371.31,35.99,68.76,38.05,2119,1610.45,1899.99,1317.45,939.34,1167.11,1675.58,1665.76,1940.38,2689.19,2559.14,2570.64
"MAB_0003",732.27,592.69,569.86,452.49,451.46,519.11,29.86,61.92,38.14,1012.78,747,925.72,599.16,401.69,492.57,531.47,509.99,613.49,1562.01,1332.2,1310.82
"MAB_0004",392.89,349.43,268.57,205.3,198.89,219.26,45.22,113.49,60.39,791.61,659.69,734.04,302.08,234.55,307.72,266,194.18,253.55,1041.78,986.64,924.96
"MAB_0005",541.62,485.15,377.22,263.57,212.64,401.31,202.66,622.04,360.62,517.22,562.51,647.23,385.11,514,302.61,195.26,190.04,187.08,824.28,697.74,750.11
"MAB_0006",4578.07,3946.46,3656.53,965.38,871.41,1256.16,3912.68,5528.84,4004.93,3598.84,3454.45,3774.19,2281.26,2215.86,2558.46,978.81,907.07,933.88,6425.91,6757.73,5907.72
"MAB_0007",798.16,637.31,553.78,187.3,124.54,303.66,402.26,544.05,444.55,428.85,415.04,513.16,389.86,511.11,547.99,214.61,252.73,199.18,672.74,628,599.11
"MAB_0008",139.69,124.42,98.05,50.42,26.11,65.58,120.23,172.74,115.39,111.77,105,99.5,61.84,68.46,71.18,43.58,45.04,39.91,131.73,151.72,160.16
"MAB_0009",356.64,264.07,261.78,86.93,85,144.47,256.31,384.07,227.72,344.27,278.08,312.57,168.64,192.12,220.15,116.55,128.66,108.96,410.24,489.66,462.24
"MAB_0010c",718.51,622.54,526.35,289.8,284.99,328.27,638.53,786.97,872.91,760.51,847.62,896.14,654.57,562.18,540.92,393.8,392.99,337.16,1043.28,993.07,967.85
"MAB_0011c",331.3,272.93,223.42,195.69,118.66,240.55,153.38,151.01,138.78,314.32,323.46,392.2,360,392.74,309.69,244.14,288.86,288.36,304.09,323.3,283.16
"MAB_0012c",602.39,559.35,414,230.07,153.61,288.3,256.7,307.03,284.88,515.78,607.58,707.45,819.89,1010.57,751,395.27,541.54,436.35,450.36,427.49,409.46
"MAB_0013c",55.66,69.43,34.66,45.7,41.23,41.24,8.43,15,15.77,79.99,57.65,51.2,64.88,71.43,73.19,65.77,79.53,65.99,87.88,49.11,66.19
"MAB_0014",51.19,49.88,38.42,37.73,34.62,54.26,40.14,74.93,36.68,52.34,70.66,75.11,102.09,83.55,72.92,76.24,104.5,87.88,37.97,37.73,38.57
"MAB_0015",38.76,35.43,25.96,24.86,21.04,39.26,27.08,53.8,26.85,37.65,39.62,26.58,56.96,61.53,55.95,34.26,46.51,44.19,36.81,25.85,23.2
"MAB_0016",177.23,180.93,125.15,118.01,85.24,132.3,124.26,204.49,160.39,310.11,260.85,290.86,225.97,227.39,229.77,157.84,143.11,161.2,260.3,282.69,276.38
"MAB_0017",170.31,156.99,116.53,163.36,118.92,183.65,32.57,36.88,25.59,140.78,119.88,177.18,168.38,207.61,184,167.41,218.24,156.45,140.57,136.32,131.96
"MAB_0018c",254.96,237.99,174.97,243.27,164.91,257.2,63.69,69.77,68.66,252.43,292.05,312.36,423.08,459.12,360.36,349.72,343.36,322.7,201.39,211.81,193.86
"MAB_0019",6516.86,5098.24,4610.93,1291.59,1277.46,1236.53,159.31,299.35,149.8,6382.82,5769.66,6230.93,7175.19,4006.61,4737.3,1840.26,1709.31,1916.16,9498.53,10546.64,10119.78
"MAB_0020",1385.18,1224.12,1041.78,465.81,377.35,508.73,127.43,163.04,117.28,1699.05,1607.76,1718.72,1620.42,970.7,1181.8,586.47,591.84,598.85,2522.66,2452.96,2324.01
"MAB_0022c",733.93,812.19,492.73,679.54,449.16,817.28,81.93,67.88,92.88,653.53,550.64,681.97,579.27,802.5,824.74,700.77,605.19,616.47,569.09,473.7,423.41
"MAB_0023",1118.96,923.07,752.47,593.46,489.7,682.24,444.45,906.69,522,641.19,663.38,793.23,1240.76,1090.76,798.12,636.53,695.73,692.05,849.64,845.07,750.73
"MAB_0024c",619.91,528.35,449.62,298.11,255.39,327.15,304.24,433.66,287.59,530.99,542.69,584.49,807,617.74,652.04,426.11,377.49,540.53,798.23,772.59,707.12
"MAB_0025",1124.41,827.2,734.61,468.93,434.41,513.09,34.89,59.57,49.36,1555.19,1271.86,1393.15,1363.93,837.16,824.93,584.84,578.88,667.7,1521.84,1950.39,1740.89
"MAB_0026",2127.32,1723.38,1524.45,818.07,759.57,855.39,96.82,184.59,102.92,2628.03,2445.77,2553.84,2650.55,1649.38,1795.42,946.11,895.15,1047.86,3023.01,3211.09,3014.23
"MAB_0027c",744.89,592.86,497.89,337.39,236.69,405.88,517.38,793.42,580.19,659.77,610.15,642.53,877.16,758.76,679.15,432.26,469.08,447.96,564.16,626.15,518.11
"MAB_0028c",301.36,267.77,211.47,197.34,118.15,239.72,9.24,14.95,8.47,233.01,175.12,217.39,346.97,269.54,303.11,222.82,244.23,279.73,160.41,189.19,207.45
"MAB_0029c",412.59,366.07,290.03,275.22,185.77,379.39,13.65,24.68,17,329.41,249.19,344.8,429.64,439.99,370.31,372.89,375.86,426.99,307.89,282.49,245.43
"MAB_0030",153.82,154.56,112.89,110.9,74.24,120.88,16.49,26.44,25.77,114.98,115.19,138,182.68,176.67,249.18,160.42,256.73,224.71,185.62,123.05,88.18
"MAB_0031",472.16,458.58,392.66,289.55,221.89,332.51,43.26,85.54,37.96,430.01,453.99,513.62,499.3,422.07,479.41,339.82,310.73,308.46,578.22,540.28,482.64
"MAB_0032",1805.97,1503.12,1291.54,1744.58,1274.24,1831.43,65.24,106.39,79.46,658.59,576.42,630.89,1457.42,1201.78,1185.05,1442.81,1350.14,1608.66,682.5,562.01,593.8
"MAB_0033c",1447.92,1334.16,979.18,1075.05,732.61,1212.84,123.27,291.99,149.47,1962.38,1619.27,1951.41,1325.46,1138.76,1111.47,1011.09,897.91,1126.08,2175.18,1920.12,1763.41
"MAB_0034c",431.54,436.45,287.24,259.51,184.76,310.74,45.43,121.34,63.24,1034.7,805.97,880.23,459.93,359.08,352.53,272.78,257.16,284.8,1106.68,1060.61,1008.08
"MAB_0035c",279.57,291.62,197.36,163.61,141.89,210.22,45.69,133.74,51.58,638.03,543.15,606.8,249.05,265.23,260.55,188.78,179.89,199.58,620.55,620.2,610.76
"MAB_0036c",380.86,433.41,283.85,163.88,155.45,223.19,95.22,151.8,109.46,775.77,656.57,850.73,370.54,320.61,305.66,210.47,172.68,201.65,839.11,854.97,750.31
"MAB_0037c",1582.18,1483.64,1184.27,1011.81,759.58,1148.14,110.51,227.89,113.57,1844.7,1597,1933.24,1277.76,1200.31,1373.12,1066.66,974.62,1139.39,2216.84,2129.82,1904.32
"MAB_0038c",1686.62,1343.66,1196.68,1133.24,802.39,1217.95,102.72,223.11,131.84,1209.28,1006.93,1218.16,1541.14,1217.62,1371.41,1174.36,1253.31,1336.54,1346.85,1311.91,1291.59
"MAB_0039c",4500.27,3888.47,3289.88,6105.62,3789.85,6137.34,470.46,941.84,561.01,3715.12,3511.84,3592.82,5025.99,3849.54,4048.5,6859.08,7679.09,8091.69,3416.86,4468.14,4550.53
